电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,https://movie.douban.com/subject/1291571/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2001 ,新西兰 美国,剧情 动作 奇幻 冒险,9.1,944887人评价
罗马假日,Roman Holiday,https://movie.douban.com/subject/1293839/,威廉·惠勒 William Wyler,奥黛丽·赫本 Audrey Hepburn / 格...,1953 ,美国,喜剧 剧情 爱情,9.1,1035232人评价
教父2,The Godfather: Part II,https://movie.douban.com/subject/1299131/,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1974 ,美国,剧情 犯罪,9.3,627701人评价
狮子王,The Lion King,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994 ,美国,动画 冒险 歌舞,9.1,945739人评价
天堂电影院,Nuovo Cinema Paradiso,https://movie.douban.com/subject/1291828/,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷 Philipp...,1988 ,意大利 法国,剧情 爱情,9.2,732540人评价
饮食男女,飲食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994 ,中国台湾 美国,剧情 家庭,9.2,711005人评价
辩护人,변호인,https://movie.douban.com/subject/21937445/,杨宇硕 Woo-seok Yang,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013 ,韩国,剧情,9.2,650596人评价
本杰明·巴顿奇事,The Curious Case of Benjamin Button,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher,布拉德·皮特 Brad Pitt / 凯特·布...,2008 ,美国,剧情 爱情 奇幻,9.0,1090217人评价
搏击俱乐部,Fight Club,https://movie.douban.com/subject/1292000/,大卫·芬奇 David Fincher,爱德华·诺顿 Edward Norton / 布拉...,1999 ,美国,剧情 动作 悬疑 惊悚,9.0,956448人评价
美丽心灵,A Beautiful Mind,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,2001 ,美国,传记 剧情,9.1,844146人评价
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,https://movie.douban.com/subject/3008247/,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德 Asa Butterfield ...,2008 ,英国 美国,剧情 战争,9.2,632985人评价
情书,Love Letter,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 ,日本,剧情 爱情,8.9,1302366人评价
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,https://movie.douban.com/subject/3011235/,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 ,美国 英国,奇幻 冒险,9.0,955164人评价
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",https://movie.douban.com/subject/1293350/,盖·里奇 Guy Ritchie,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998 ,英国,剧情 喜剧 犯罪,9.1,666634人评价
窃听风暴,Das Leben der Anderen,https://movie.douban.com/subject/1900841/,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck&n...,杰森·弗莱明 Jason Flemyng / 德克斯特...,2006 ,德国,剧情 悬疑,9.2,624352人评价
音乐之声,The Sound of Music,https://movie.douban.com/subject/1294408/,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965 ,美国,剧情 传记 爱情 歌舞,9.1,674304人评价
功夫,功夫3D  /  Kung Fu Hustle,https://movie.douban.com/subject/1291543/,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004 ,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.9,1312001人评价
西西里的美丽传说,Malèna,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000 ,意大利 美国,剧情 战争 情色,8.9,1080613人评价
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,https://movie.douban.com/subject/1291544/,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004 ,英国 美国,奇幻 冒险,9.0,874582人评价
阿凡达,Avatar,https://movie.douban.com/subject/1652587/,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009 ,美国,动作 科幻 冒险,8.8,1553442人评价
看不见的客人,Contratiempo,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016 ,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1420604人评价
拯救大兵瑞恩,Saving Private Ryan,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998 ,美国,剧情 战争,9.1,715465人评价
沉默的羔羊,The Silence of the Lambs,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991 ,美国,剧情 犯罪 惊悚,8.9,1000710人评价
小鞋子,بچه های آسمان,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997 ,伊朗,剧情 儿童 家庭,9.2,456851人评价
飞越疯人院,One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292224/,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975 ,美国,剧情,9.1,596451人评价
布达佩斯大饭店,The Grand Budapest Hotel,https://movie.douban.com/subject/11525673/,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014 ,美国 德国 英国,剧情 喜剧 冒险,8.9,1068177人评价
蝴蝶效应,The Butterfly Effect,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber主...,拉尔夫·费因斯 Ralph Fiennes / ...,2004 ,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,1052701人评价
禁闭岛,Shutter Island,https://movie.douban.com/subject/2334904/,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 ,美国,剧情 悬疑 惊悚,8.9,1097145人评价
心灵捕手,Good Will Hunting,https://movie.douban.com/subject/1292656/,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997 ,美国,剧情,9.0,804131人评价
致命魔术,The Prestige,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006 ,英国 美国,剧情 悬疑 惊悚,8.9,951958人评价
低俗小说,Pulp Fiction,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994 ,美国,剧情 喜剧 犯罪,8.9,944398人评价
超脱,Detachment,https://movie.douban.com/subject/5322596/,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011 ,美国,剧情,9.0,710803人评价
还有明天,C'è ancora domani,https://movie.douban.com/subject/36445098/,宝拉·柯特莱西 Paola Cortellesi,宝拉·柯特莱西 Paola Corte...,2023 ,意大利,剧情 喜剧 历史,9.3,339113人评价
哈利·波特与密室,Harry Potter and the Chamber of Secrets,https://movie.douban.com/subject/1296996/,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002 ,英国 美国,奇幻 冒险,8.9,900027人评价
喜剧之王,喜劇之王,https://movie.douban.com/subject/1302425/,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999 ,中国香港,喜剧 剧情 爱情,8.8,1079860人评价
摩登时代,Modern Times,https://movie.douban.com/subject/1294371/,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936 ,美国,剧情 喜剧 爱情,9.3,341246人评价
一一,Yi yi  /  Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000 ,中国台湾 日本,剧情 爱情 家庭,9.1,491928人评价
杀人回忆,살인의 추억,https://movie.douban.com/subject/1300299/,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 ,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,823337人评价
致命ID,Identity,https://movie.douban.com/subject/1297192/,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003 ,美国,剧情 悬疑 惊悚,8.9,933352人评价
春光乍泄,春光乍洩,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997 ,中国香港 日本 韩国,剧情 爱情 同性,9.0,701891人评价
海豚湾,The Cove,https://movie.douban.com/subject/3442220/,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009 ,美国,纪录片,9.3,379466人评价
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,https://movie.douban.com/subject/1298070/,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003 ,美国,动作 冒险 奇幻,8.8,955494人评价
